stage,generation,sample_accuracy_percent,sample_loss,changed_weights,test_accuracy_percent,test_loss
generation,0,83.20000171661377,0.4842059314250946,8,70.60999870300293,0.9678810834884644
generation,1,83.95000696182251,0.4491867423057556,8,70.60999870300293,0.9678810834884644
generation,2,83.55000615119934,0.4914622902870178,18,70.2299952507019,0.980274498462677
generation,3,84.75000262260437,0.43288519978523254,54,70.84999680519104,0.952555775642395
generation,4,83.70000123977661,0.47395074367523193,47,70.62999606132507,0.96219402551651
generation,5,85.05000472068787,0.44920843839645386,60,70.66999673843384,0.9610589742660522
generation,6,83.55000615119934,0.47510093450546265,71,71.0099995136261,0.9353890419006348
generation,7,84.50000286102295,0.44402459263801575,61,71.57999873161316,0.9158127903938293
generation,8,84.6500039100647,0.4497116804122925,84,71.0599958896637,0.9446997046470642
generation,9,85.50000190734863,0.43585696816444397,72,71.75999879837036,0.9128446578979492
generation,10,84.75000262260437,0.4256819188594818,82,71.74999713897705,0.9100289344787598
generation,11,85.35000681877136,0.42940616607666016,107,71.34000062942505,0.9158973693847656
generation,12,86.15000247955322,0.42120829224586487,103,71.60999774932861,0.9105952382087708
generation,13,84.10000205039978,0.4473904073238373,124,72.24999666213989,0.8895418047904968
generation,14,86.65000200271606,0.4000539779663086,128,71.78999781608582,0.8988959789276123
generation,15,86.35000586509705,0.4085415303707123,141,71.56999707221985,0.9058709740638733
generation,16,85.95000505447388,0.40512368083000183,126,72.13999629020691,0.8996372818946838
generation,17,86.2500011920929,0.4029669165611267,154,72.02000021934509,0.893097460269928
generation,18,86.60000562667847,0.426522821187973,173,71.8999981880188,0.907372236251831
generation,19,87.1500015258789,0.4015347957611084,173,71.92999720573425,0.895682692527771
generation,20,86.10000610351562,0.40691617131233215,183,72.42000102996826,0.8849397301673889
generation,21,86.35000586509705,0.4001695215702057,177,72.32999801635742,0.8791098594665527
generation,22,85.55000424385071,0.40664008259773254,191,72.40999937057495,0.888481855392456
generation,23,85.35000681877136,0.42770564556121826,164,72.14999794960022,0.8867476582527161
generation,24,87.35000491142273,0.38612550497055054,214,72.14999794960022,0.8744621872901917
generation,25,87.10000514984131,0.39510974287986755,230,72.45999574661255,0.8834072351455688
generation,26,86.15000247955322,0.41623830795288086,224,72.63000011444092,0.8773872256278992
generation,27,86.05000376701355,0.40898579359054565,234,72.3800003528595,0.8836530447006226
generation,28,86.45000457763672,0.40481287240982056,222,72.36999869346619,0.8826804757118225
generation,29,86.2500011920929,0.4117504358291626,282,72.06999659538269,0.883858323097229
generation,30,86.30000352859497,0.4279976189136505,243,72.4399983882904,0.8848916888237
generation,31,85.65000295639038,0.4038478434085846,277,72.46999740600586,0.8721815347671509
generation,32,86.05000376701355,0.43686437606811523,312,72.50999808311462,0.8707895278930664
generation,33,86.05000376701355,0.4164485037326813,268,72.67999649047852,0.8762636780738831
generation,34,85.8500063419342,0.4237249195575714,307,72.51999974250793,0.8677744269371033
generation,35,87.35000491142273,0.39670026302337646,323,72.52999544143677,0.8727504014968872
generation,36,86.75000667572021,0.39810723066329956,315,72.54999876022339,0.8629714846611023
generation,37,87.20000386238098,0.3867785334587097,336,72.85000085830688,0.8732573986053467
generation,38,87.10000514984131,0.3988320827484131,366,72.85999655723572,0.8628648519515991
generation,39,86.35000586509705,0.4287832975387573,346,73.33999872207642,0.8697638511657715
generation,40,86.45000457763672,0.39591526985168457,351,72.79999852180481,0.8568367958068848
generation,41,87.10000514984131,0.3925722539424896,349,72.77999520301819,0.8662868142127991
generation,42,87.85000443458557,0.38191819190979004,344,72.93999791145325,0.867075502872467
generation,43,86.15000247955322,0.4321053624153137,355,73.01999926567078,0.8536718487739563
generation,44,86.95000410079956,0.4117249548435211,372,72.79999852180481,0.8595110177993774
generation,45,87.90000677108765,0.36687296628952026,337,72.93999791145325,0.8614357709884644
generation,46,87.60000467300415,0.39188793301582336,355,73.01999926567078,0.8536718487739563
generation,47,86.90000176429749,0.39854487776756287,394,72.56999611854553,0.8598569631576538
generation,48,85.25000214576721,0.4335688352584839,380,73.06999564170837,0.8629173636436462
generation,49,86.55000329017639,0.398696631193161,361,72.85999655723572,0.8609879612922668
generation,50,87.8000020980835,0.37522804737091064,419,72.64999747276306,0.8625162839889526
generation,51,87.60000467300415,0.3732702434062958,355,73.01999926567078,0.8536718487739563
generation,52,87.10000514984131,0.3889162838459015,441,72.67000079154968,0.8630996346473694
generation,53,86.65000200271606,0.40189510583877563,432,72.9200005531311,0.8572837710380554
generation,54,86.2000048160553,0.4338286519050598,425,72.67000079154968,0.8511295914649963
generation,55,87.00000643730164,0.40691420435905457,447,72.82999753952026,0.8571226596832275
generation,56,87.40000128746033,0.3820251524448395,446,72.83999919891357,0.8444186449050903
generation,57,87.05000281333923,0.3970426023006439,469,72.99999594688416,0.8526744842529297
generation,58,85.9000027179718,0.4167901277542114,420,72.99000024795532,0.8478073477745056
