stage,generation,sample_accuracy_percent,sample_loss,test_accuracy_percent,test_loss
generation,54,19.300000369548798,73.98348236083984,,
generation,55,19.200000166893005,70.7449722290039,,
generation,56,20.800000429153442,70.53791809082031,,
generation,57,19.00000125169754,74.67089080810547,,
generation,58,18.900001049041748,76.18434143066406,,
generation,59,19.15000081062317,69.7039794921875,,
generation,60,18.35000067949295,70.3150634765625,,
generation,61,19.350001215934753,75.64102172851562,,
generation,62,19.90000158548355,75.24361419677734,,
generation,63,19.100001454353333,75.80720520019531,,
generation,64,20.250001549720764,83.07947540283203,,
generation,65,20.250001549720764,69.63823699951172,,
generation,66,21.10000103712082,92.83741760253906,,
generation,67,19.500000774860382,58.421478271484375,,
generation,68,20.45000046491623,77.99734497070312,,
generation,69,19.600000977516174,94.42523193359375,,
generation,70,19.700001180171967,77.85993957519531,,
generation,71,20.20000070333481,77.84237670898438,,
generation,72,20.20000070333481,89.3964614868164,,
generation,73,19.65000033378601,85.98274230957031,,
generation,74,20.900000631809235,75.38062286376953,,
generation,75,20.3000009059906,76.36548614501953,,
generation,76,20.100000500679016,62.973411560058594,,
generation,77,20.900000631809235,74.46610260009766,,
generation,78,21.950000524520874,90.99833679199219,,
generation,79,20.900000631809235,79.72834014892578,,
generation,80,20.600001513957977,75.54559326171875,,
generation,81,21.250000596046448,94.04661560058594,,
generation,82,19.80000138282776,95.65586853027344,,
generation,83,20.500001311302185,73.57135772705078,,
generation,84,22.100001573562622,74.86337280273438,,
generation,85,20.800000429153442,72.6314926147461,,
generation,86,21.450001001358032,91.57530975341797,,
generation,87,20.600001513957977,67.94975280761719,,
generation,88,21.650001406669617,90.58879852294922,,
generation,89,23.100000619888306,82.4965591430664,,
generation,90,21.650001406669617,69.74545288085938,,
generation,91,22.6500004529953,85.80977630615234,,
generation,92,23.650000989437103,82.50080871582031,,
generation,93,21.300001442432404,91.43203735351562,,
generation,94,24.050001800060272,81.86193084716797,,
generation,95,22.600001096725464,97.60297393798828,,
generation,96,23.15000146627426,71.33660888671875,,
generation,97,22.200001776218414,87.42279052734375,,
generation,98,23.500001430511475,75.63719940185547,,
generation,99,22.100001573562622,82.71829223632812,,
generation,100,23.200000822544098,85.48291778564453,,
generation,101,23.250001668930054,71.42157745361328,,
generation,102,23.45000058412552,77.65065002441406,,
generation,103,23.45000058412552,85.47044372558594,,
generation,104,22.90000170469284,80.57512664794922,,
generation,105,23.55000078678131,99.64673614501953,,
generation,106,22.100001573562622,76.88158416748047,,
generation,107,23.200000822544098,76.53396606445312,,
generation,108,23.000000417232513,75.58930206298828,,
generation,109,23.600001633167267,95.13932037353516,,
generation,110,24.2000013589859,99.7374496459961,,
generation,111,24.250000715255737,86.90709686279297,,
generation,112,25.150001049041748,90.88775634765625,,
generation,113,24.150000512599945,99.88350677490234,,
generation,114,25.40000081062317,82.91690826416016,,
generation,115,24.500000476837158,81.86986541748047,,
generation,116,24.000000953674316,68.66127014160156,,
generation,117,26.900002360343933,62.179893493652344,,
generation,118,26.15000009536743,95.05500793457031,,
generation,119,26.30000114440918,71.91917419433594,,
generation,120,25.40000081062317,63.88251876831055,,
generation,121,25.550001859664917,73.19540405273438,,
generation,122,25.40000081062317,76.17878723144531,,
generation,123,25.150001049041748,78.98654174804688,,
generation,124,27.150002121925354,78.05388641357422,,
generation,125,25.200000405311584,78.52998352050781,,
generation,126,26.05000138282776,91.68126678466797,,
generation,127,25.50000250339508,84.8116683959961,,
generation,128,25.350001454353333,77.28673553466797,,
generation,129,27.549999952316284,64.52590942382812,,
generation,130,26.30000114440918,83.96214294433594,,
generation,131,25.7500022649765,80.91471099853516,,
generation,132,26.750001311302185,92.07518768310547,,
generation,133,27.300000190734863,91.08231353759766,,
generation,134,26.399999856948853,81.97927856445312,,
generation,135,27.000001072883606,90.23524475097656,,
generation,136,27.650001645088196,66.58078002929688,,
generation,137,27.500000596046448,82.9443588256836,,
generation,138,27.650001645088196,71.3130874633789,,
generation,139,26.600000262260437,94.548583984375,,
generation,140,27.800002694129944,73.27781677246094,,
generation,141,28.24999988079071,71.60569763183594,,
generation,142,29.05000150203705,90.75354766845703,,
