stage,generation,train_accuracy_percent,train_loss,test_accuracy_percent,test_loss
generation,0,14.350000023841858,61.033775329589844,13.189999759197235,61.41361999511719
generation,1,14.550000429153442,62.85700988769531,13.140000402927399,64.18270111083984
generation,2,14.850001037120819,68.36466217041016,12.749999761581421,71.67194366455078
generation,3,15.000000596046448,62.290523529052734,14.68999981880188,62.25809860229492
generation,4,15.450000762939453,60.05487060546875,14.350000023841858,61.34404373168945
generation,5,15.650001168251038,66.8045883178711,13.889999687671661,69.71461486816406
generation,6,14.500001072883606,65.86176300048828,14.299999177455902,64.41930389404297
generation,7,15.300001204013824,86.59642028808594,12.98999935388565,89.54835510253906
generation,8,15.350000560283661,58.12123107910156,13.830000162124634,58.67369842529297
generation,9,16.850000619888306,49.294002532958984,15.639999508857727,49.74521255493164
generation,10,15.850000083446503,62.223548889160156,13.56000006198883,63.7653694152832
generation,11,15.950000286102295,80.87193298339844,14.839999377727509,81.64956665039062
generation,12,15.650001168251038,65.50172424316406,14.85999971628189,65.50382232666016
generation,13,15.800000727176666,75.29341888427734,15.42000025510788,75.72949981689453
generation,14,17.250001430511475,100.93856811523438,16.71999990940094,99.97429656982422
generation,15,17.20000058412552,100.26459503173828,16.71999990940094,99.97429656982422
generation,16,17.45000034570694,97.91998291015625,16.71999990940094,99.97429656982422
generation,17,18.300001323223114,96.47799682617188,16.71999990940094,99.97429656982422
generation,18,15.950000286102295,56.46636199951172,16.019999980926514,56.49098205566406
generation,19,16.600000858306885,97.1001205444336,16.71999990940094,99.97429656982422
generation,20,16.450001299381256,49.33495330810547,15.289999544620514,50.40105056762695
generation,21,16.25000089406967,102.6563720703125,16.71999990940094,99.97429656982422
generation,22,18.35000067949295,99.31666564941406,16.71999990940094,99.97429656982422
generation,23,18.250000476837158,78.89618682861328,16.39000028371811,81.42144012451172
generation,24,17.500001192092896,98.18846893310547,16.71999990940094,99.97429656982422
generation,25,17.750000953674316,58.937713623046875,14.839999377727509,60.24412536621094
generation,26,16.65000021457672,57.471031188964844,17.719998955726624,57.613162994384766
generation,27,17.70000010728836,99.27873229980469,16.71999990940094,99.97429656982422
generation,28,17.9500013589859,58.435874938964844,17.719998955726624,57.613162994384766
generation,29,17.500001192092896,57.41136169433594,17.719998955726624,57.613162994384766
generation,30,18.50000023841858,65.45079803466797,16.049998998641968,69.06795501708984
generation,31,18.400001525878906,83.53046417236328,16.579999029636383,86.7279281616211
generation,32,18.450000882148743,85.27886199951172,16.65000021457672,88.37026977539062
generation,33,17.500001192092896,83.25698852539062,16.380000114440918,84.72737121582031
generation,34,18.150000274181366,86.85527801513672,16.579999029636383,86.7279281616211
