stage,generation,sample_accuracy_percent,sample_loss,changed_weights,test_accuracy_percent,test_loss
generation,0,84.40000414848328,0.4529014825820923,12,,
generation,1,85.15000343322754,0.4352308213710785,23,,
generation,2,85.15000343322754,0.44255101680755615,38,,
generation,3,86.70000433921814,0.39835286140441895,56,,
generation,4,85.80000400543213,0.4080342948436737,64,,
generation,5,87.25000619888306,0.38410890102386475,74,,
generation,6,86.90000176429749,0.396820068359375,78,,
generation,7,87.00000643730164,0.37841519713401794,79,,
generation,8,87.4500036239624,0.3630954623222351,97,,
generation,9,86.95000410079956,0.3861067295074463,103,,
generation,10,88.25000524520874,0.3573192059993744,114,,
generation,11,87.60000467300415,0.3590942323207855,124,,
generation,12,86.30000352859497,0.4087545573711395,136,,
generation,13,88.00000548362732,0.3717331290245056,129,,
generation,14,88.65000605583191,0.3367069661617279,144,,
generation,15,87.85000443458557,0.3703060746192932,168,,
generation,16,88.60000371932983,0.3401945233345032,159,,
generation,17,88.40000629425049,0.3533850312232971,182,,
generation,18,88.15000653266907,0.34288161993026733,169,,
generation,19,88.65000605583191,0.34542539715766907,184,,
generation,20,87.70000338554382,0.3600645363330841,189,,
generation,21,87.90000677108765,0.3549138307571411,204,,
generation,22,88.45000267028809,0.35746216773986816,201,,
generation,23,89.10000324249268,0.3468272089958191,235,,
generation,24,88.95000219345093,0.34269121289253235,241,,
generation,25,88.80000710487366,0.34691762924194336,235,,
generation,26,88.10000419616699,0.3676513135433197,275,,
generation,27,88.10000419616699,0.35458534955978394,280,,
generation,28,89.10000324249268,0.32385706901550293,263,,
generation,29,89.15000557899475,0.3241000175476074,269,,
generation,30,88.05000185966492,0.3580673336982727,340,,
generation,31,87.40000128746033,0.3605051636695862,322,,
generation,32,88.80000710487366,0.3452073335647583,335,,
generation,33,88.25000524520874,0.3533450961112976,275,,
generation,34,86.05000376701355,0.4115549921989441,318,,
generation,35,88.60000371932983,0.34081995487213135,265,,
generation,36,88.95000219345093,0.34096667170524597,325,,
generation,37,88.35000395774841,0.34755557775497437,335,,
generation,38,88.30000162124634,0.35972198843955994,348,,
generation,39,87.85000443458557,0.3617692291736603,355,,
generation,40,87.8000020980835,0.3791097402572632,366,,
generation,41,86.80000305175781,0.38581281900405884,377,,
generation,42,89.70000147819519,0.33012303709983826,417,,
generation,43,87.4500036239624,0.3919258713722229,406,,
generation,44,88.75000476837158,0.3337803781032562,370,,
generation,45,89.45000171661377,0.3365180492401123,386,,
generation,46,88.45000267028809,0.35002022981643677,441,,
generation,47,88.20000290870667,0.35510414838790894,432,,
generation,48,87.55000233650208,0.3742195665836334,442,,
generation,49,87.90000677108765,0.373740553855896,432,,
generation,50,89.05000686645508,0.34314993023872375,428,,
generation,51,87.95000314712524,0.36122018098831177,450,,
generation,52,88.80000710487366,0.3363384008407593,463,,
generation,53,89.05000686645508,0.337142676115036,464,,
generation,54,87.60000467300415,0.3846886456012726,457,,
generation,55,87.85000443458557,0.35980474948883057,491,,
generation,56,87.55000233650208,0.37943243980407715,464,,
generation,57,89.10000324249268,0.3503141403198242,510,,
generation,58,87.8000020980835,0.37588372826576233,486,,
generation,59,87.50000596046448,0.37224605679512024,546,,
generation,60,88.90000581741333,0.34975749254226685,540,,
generation,61,88.35000395774841,0.361737459897995,531,,
generation,62,88.35000395774841,0.33841803669929504,545,,
generation,63,88.10000419616699,0.3592044711112976,545,,
generation,64,88.15000653266907,0.36611175537109375,565,,
generation,65,87.50000596046448,0.3672923147678375,581,,
generation,66,87.55000233650208,0.3659588098526001,630,,
generation,67,87.55000233650208,0.3695647716522217,588,,
generation,68,88.80000710487366,0.35561075806617737,584,,
generation,69,88.7000024318695,0.3462508022785187,613,,
generation,70,89.55000638961792,0.31989043951034546,623,,
generation,71,89.10000324249268,0.32784339785575867,587,,
generation,72,87.40000128746033,0.3593178987503052,587,,
generation,73,88.45000267028809,0.34959301352500916,672,,
generation,74,86.35000586509705,0.3810534179210663,659,,
generation,75,87.05000281333923,0.3897761404514313,658,,
generation,76,88.25000524520874,0.36603477597236633,653,,
generation,77,88.30000162124634,0.3628746271133423,636,,
generation,78,88.50000500679016,0.33549585938453674,693,,
generation,79,88.30000162124634,0.3663780689239502,700,,
generation,80,87.55000233650208,0.3805132806301117,728,,
generation,81,89.55000638961792,0.3331036865711212,714,,
generation,82,89.3000066280365,0.3359781503677368,714,,
generation,83,88.05000185966492,0.3714699447154999,718,,
generation,84,87.70000338554382,0.3616221845149994,722,,
generation,85,88.35000395774841,0.34876155853271484,753,,
generation,86,88.60000371932983,0.3643459379673004,740,,
generation,87,88.40000629425049,0.36208924651145935,790,,
generation,88,88.75000476837158,0.33383986353874207,819,,
generation,89,87.4500036239624,0.3947233259677887,776,,
generation,90,88.7000024318695,0.338606595993042,817,,
generation,91,87.8000020980835,0.36216652393341064,804,,
generation,92,88.45000267028809,0.3705075681209564,822,,
generation,93,88.80000710487366,0.3514968156814575,806,,
generation,94,87.70000338554382,0.37445732951164246,791,,
generation,95,88.10000419616699,0.36938801407814026,834,,
generation,96,88.10000419616699,0.3659382164478302,799,,
generation,97,88.10000419616699,0.35784944891929626,825,,
generation,98,87.50000596046448,0.3776592016220093,830,,
generation,99,87.65000700950623,0.36011070013046265,881,,
generation,100,88.55000138282776,0.3638274669647217,850,,
after_ga,,,,,73.03999662399292,0.9213575124740601
