stage,generation,sample_accuracy_percent,sample_loss,changed_weights,test_accuracy_percent,test_loss
generation,0,82.55000114440918,0.5130313634872437,1,71.60999774932861,0.878167986869812
generation,1,81.95000290870667,0.49968647956848145,5,71.7199981212616,0.8766443133354187
generation,2,82.25000500679016,0.5110426545143127,4,71.79999947547913,0.8779815435409546
generation,3,83.1000030040741,0.49134352803230286,10,71.49999737739563,0.8743535876274109
generation,4,83.90000462532043,0.50336092710495,8,71.8999981880188,0.8743368983268738
generation,5,84.10000205039978,0.4723244607448578,7,71.78999781608582,0.8771888613700867
generation,6,83.15000534057617,0.5011611580848694,10,71.82999849319458,0.8753982186317444
generation,7,82.55000114440918,0.4952937662601471,8,71.88999652862549,0.874477744102478
generation,8,83.75000357627869,0.4699632227420807,16,71.84999585151672,0.8737419843673706
generation,9,83.15000534057617,0.4971488416194916,15,71.68999910354614,0.8782755136489868
generation,10,83.70000123977661,0.48578885197639465,15,72.02999591827393,0.8732205033302307
generation,11,83.20000171661377,0.49583232402801514,14,71.88000082969666,0.8723273277282715
generation,12,82.95000195503235,0.49691110849380493,18,71.90999984741211,0.868370771408081
generation,13,83.00000429153442,0.5165532231330872,14,71.66999578475952,0.8770294785499573
generation,14,86.45000457763672,0.4304930865764618,16,71.81999683380127,0.8749045133590698
generation,15,83.80000591278076,0.48268669843673706,12,72.04999923706055,0.8682417869567871
generation,16,84.3000054359436,0.4617808163166046,22,71.84999585151672,0.8710360527038574
generation,17,83.15000534057617,0.49525994062423706,27,71.96999788284302,0.8622009754180908
generation,18,83.20000171661377,0.4937119781970978,34,71.79999947547913,0.8735854625701904
generation,19,84.15000438690186,0.475387841463089,27,71.9599962234497,0.868624210357666
generation,20,84.00000333786011,0.4888856112957001,31,72.10999727249146,0.8643116354942322
generation,21,82.15000629425049,0.5323476791381836,31,71.77000045776367,0.8681153059005737
generation,22,83.85000228881836,0.4934505820274353,31,71.97999954223633,0.8663808703422546
generation,23,84.75000262260437,0.48726561665534973,31,72.04999923706055,0.862705647945404
generation,24,84.9500060081482,0.4760758876800537,35,72.13999629020691,0.8601146340370178
generation,25,84.6500039100647,0.47909820079803467,35,72.04999923706055,0.8634666800498962
generation,26,83.00000429153442,0.5015838742256165,41,71.91999554634094,0.8662505745887756
generation,27,84.3000054359436,0.4691641330718994,44,72.3800003528595,0.8550073504447937
generation,28,83.35000276565552,0.5063902735710144,49,71.96999788284302,0.8612796664237976
generation,29,84.20000672340393,0.48148906230926514,44,72.3800003528595,0.8550073504447937
generation,30,83.65000486373901,0.4989554286003113,48,72.20999598503113,0.8593465089797974
generation,31,83.00000429153442,0.4954544007778168,44,72.29999899864197,0.8552439212799072
generation,32,84.15000438690186,0.500142514705658,53,72.27999567985535,0.8532647490501404
generation,33,84.40000414848328,0.48057955503463745,48,72.26999998092651,0.8605421185493469
generation,34,83.0500066280365,0.5034530162811279,48,72.31999635696411,0.8545041084289551
generation,35,83.90000462532043,0.48829150199890137,46,72.29999899864197,0.8558548092842102
generation,36,84.70000624656677,0.46847444772720337,44,72.49999642372131,0.8518415093421936
generation,37,83.65000486373901,0.479295551776886,54,72.47999906539917,0.8476930856704712
generation,38,83.80000591278076,0.4936617314815521,65,72.46999740600586,0.8545968532562256
generation,39,85.05000472068787,0.48611438274383545,55,72.39999771118164,0.8549774289131165
generation,40,85.80000400543213,0.44770798087120056,51,72.6099967956543,0.8491342663764954
generation,41,83.25000405311584,0.5010642409324646,55,72.33999967575073,0.8517554402351379
generation,42,84.60000157356262,0.4556770324707031,51,72.31999635696411,0.8532358407974243
generation,43,83.45000147819519,0.5220462083816528,53,72.42000102996826,0.8526874780654907
generation,44,83.80000591278076,0.48622334003448486,60,72.67999649047852,0.8498699069023132
generation,45,86.55000329017639,0.42851075530052185,61,72.29999899864197,0.8547546863555908
generation,46,84.6500039100647,0.4693918526172638,67,72.54999876022339,0.8459884524345398
generation,47,83.55000615119934,0.4827995300292969,56,72.36999869346619,0.8496211171150208
generation,48,83.35000276565552,0.5012745261192322,52,72.40999937057495,0.8485603332519531
generation,49,84.6500039100647,0.4738615155220032,64,72.77999520301819,0.8459391593933105
generation,50,84.60000157356262,0.4682570993900299,73,72.33999967575073,0.848533034324646
generation,51,83.35000276565552,0.4956362247467041,64,72.72999882698059,0.8461710214614868
generation,52,85.10000109672546,0.47316914796829224,71,72.65999913215637,0.8466299772262573
generation,53,84.90000367164612,0.4666869342327118,76,72.88999557495117,0.8450108170509338
generation,54,83.75000357627869,0.5115631818771362,76,72.42000102996826,0.849068820476532
generation,55,84.55000519752502,0.4614989757537842,82,72.49000072479248,0.8477829098701477
generation,56,84.70000624656677,0.45739060640335083,75,72.63000011444092,0.8445344567298889
generation,57,85.40000319480896,0.46358320116996765,66,72.69999980926514,0.8462634086608887
generation,58,84.05000567436218,0.49298179149627686,82,72.65999913215637,0.8466399312019348
generation,59,83.60000252723694,0.4905222952365875,91,72.7899968624115,0.8437244296073914
generation,60,84.6500039100647,0.46951016783714294,81,72.65999913215637,0.8459584712982178
generation,61,85.30000448226929,0.45989033579826355,68,72.61999845504761,0.8449355363845825
generation,62,84.75000262260437,0.4637773036956787,82,72.85999655723572,0.8427746891975403
generation,63,84.55000519752502,0.47079557180404663,81,72.57999777793884,0.8445252776145935
generation,64,83.70000123977661,0.48327964544296265,80,72.49999642372131,0.8439897298812866
generation,65,85.40000319480896,0.46206381916999817,77,72.60000109672546,0.8470051884651184
generation,66,84.20000672340393,0.4829925298690796,79,72.57999777793884,0.8443925976753235
generation,67,84.20000672340393,0.4856058955192566,89,72.5600004196167,0.8424627184867859
generation,68,85.20000576972961,0.47036847472190857,80,72.3800003528595,0.8452050685882568
generation,69,85.25000214576721,0.471050500869751,95,72.49999642372131,0.8482713103294373
generation,70,84.75000262260437,0.455953449010849,77,72.51999974250793,0.8509020805358887
generation,71,85.80000400543213,0.44455981254577637,97,72.53999710083008,0.8439624309539795
generation,72,83.40000510215759,0.5135664939880371,94,72.47999906539917,0.8460708856582642
generation,73,84.3500018119812,0.45791780948638916,94,72.47999906539917,0.8460708856582642
generation,74,84.60000157356262,0.4768828749656677,79,72.67000079154968,0.8451682329177856
generation,75,83.75000357627869,0.485868901014328,88,72.53999710083008,0.8441339731216431
generation,76,83.15000534057617,0.4825824201107025,89,72.53999710083008,0.8449782133102417
generation,77,83.20000171661377,0.5095480680465698,87,72.70999550819397,0.8444253206253052
generation,78,84.60000157356262,0.4578733742237091,90,72.7400004863739,0.8426668047904968
generation,79,85.30000448226929,0.4573875367641449,90,72.31000065803528,0.8441957235336304
generation,80,85.30000448226929,0.4820501208305359,96,72.35999703407288,0.8448495268821716
generation,81,85.15000343322754,0.4720922112464905,93,72.63999581336975,0.8436169028282166
generation,82,85.35000681877136,0.4691806435585022,106,72.42000102996826,0.8437155485153198
generation,83,84.00000333786011,0.4844166338443756,93,72.4399983882904,0.8442059755325317
generation,84,84.3500018119812,0.4722534120082855,95,72.69999980926514,0.8428438305854797
generation,85,84.9500060081482,0.4568432867527008,102,72.4299967288971,0.8428522348403931
generation,86,84.05000567436218,0.48523426055908203,99,72.3800003528595,0.843597948551178
generation,87,85.35000681877136,0.4590621292591095,104,72.5600004196167,0.8462517857551575
generation,88,84.90000367164612,0.4672482907772064,93,72.4399983882904,0.8446412086486816
generation,89,84.10000205039978,0.4873749315738678,121,72.56999611854553,0.8418574929237366
generation,90,84.50000286102295,0.4625921845436096,106,72.50999808311462,0.8407142758369446
generation,91,85.05000472068787,0.47806012630462646,113,72.6099967956543,0.8465143442153931
generation,92,85.30000448226929,0.4600493311882019,110,72.50999808311462,0.8401894569396973
generation,93,84.05000567436218,0.4731350839138031,99,72.57999777793884,0.8408036828041077
generation,94,84.10000205039978,0.48765110969543457,99,72.35999703407288,0.844894528388977
generation,95,84.80000495910645,0.4647132456302643,104,72.67000079154968,0.841375470161438
generation,96,84.3500018119812,0.4847120940685272,130,72.42000102996826,0.8421216011047363
generation,97,85.30000448226929,0.4634462594985962,116,72.53999710083008,0.8398202061653137
generation,98,84.20000672340393,0.48223569989204407,119,72.53999710083008,0.8416533470153809
generation,99,84.75000262260437,0.465432733297348,105,72.75999784469604,0.8390319347381592
generation,100,84.85000133514404,0.46204814314842224,118,72.4399983882904,0.8420960903167725
after_ga,,,,,72.53999710083008,0.8398202061653137
