epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,11.775746190185547,25.782,6.049036026000977,27.719998359680176
2,4.454191143417359,28.67,2.825582981109619,30.059999227523804
3,1.9743343827056885,33.764,1.6746710538864136,38.22999894618988
4,1.7534670129394532,37.912,1.5562282800674438,43.68000030517578
5,1.6854751232528686,40.35,1.49745774269104,45.74999809265137
6,1.6584147077941895,41.32,1.5441910028457642,45.01999914646149
7,1.6212108827590943,42.464,1.6592204570770264,43.789997696876526
8,1.5923887867355346,43.7,1.511800765991211,46.43999934196472
9,1.568595703201294,44.716,1.4153937101364136,48.669999837875366
10,1.540515960998535,45.244,1.4215686321258545,50.589996576309204
11,1.4927729371261598,47.302,1.4041037559509277,49.98999834060669
12,1.4768238326263428,47.814,1.4665355682373047,47.450000047683716
13,1.418924651222229,49.998,1.3207799196243286,52.399998903274536
14,1.396341593170166,50.514,1.2938543558120728,55.12999892234802
15,1.375917977256775,51.7,1.2399119138717651,56.2999963760376
16,1.3633173662948608,52.288,1.2760043144226074,54.739999771118164
17,1.3446520025634765,52.978,1.296388030052185,53.29999923706055
18,1.3357718936347962,53.276,1.3127222061157227,54.5199990272522
19,1.3238070734405518,53.546,1.355526328086853,51.78999900817871
20,1.3104517637634276,54.46,1.2050225734710693,58.379995822906494
21,1.2921953282928467,54.796,1.2513132095336914,55.26999831199646
22,1.273262416229248,55.446,1.17241370677948,58.559995889663696
23,1.2637646403884888,55.564,1.2332650423049927,56.83000087738037
24,1.2527610105895997,56.14,1.4624717235565186,51.419997215270996
25,1.2464605502319337,56.59,1.3276584148406982,53.67000102996826
26,1.2385717567062378,56.46,1.2410560846328735,55.00999689102173
27,1.2439051204681397,56.48,1.1920136213302612,58.160001039505005
28,1.240475024471283,56.654,1.1317976713180542,60.31000018119812
29,1.2285817697906494,57.238,1.1842864751815796,57.999998331069946
30,1.2226642572021484,57.124,1.1427868604660034,60.07999777793884
31,1.2088370906066894,57.588,1.138396978378296,60.249996185302734
32,1.211157435646057,57.642,1.3702526092529297,53.49999666213989
33,1.204452698135376,57.824,1.1827170848846436,60.42999625205994
34,1.2052936782455443,58.046,1.110810399055481,61.14000082015991
35,1.1926423731613158,58.514,1.2624335289001465,56.98999762535095
36,1.1972984453964233,58.262,1.2253875732421875,56.25999569892883
37,1.1971379244804383,58.206,1.184942364692688,58.41999650001526
38,1.1876119104385376,58.322,1.5663827657699585,49.41999912261963
39,1.1888203198623657,58.314,1.1345313787460327,59.97999906539917
40,1.1844663348007203,58.23,1.1930885314941406,58.09999704360962
41,1.1777795917510987,58.598,1.3989943265914917,53.6300003528595
42,1.1784484902954102,58.988,1.1298245191574097,61.559998989105225
43,1.1745004418182372,58.796,1.2110745906829834,58.84000062942505
44,1.1658907960700988,59.374,1.1874290704727173,59.13999676704407
