epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,16.70139696411133,35.654,9.50719165802002,41.359999775886536
2,6.790159877166748,40.122,4.0805253982543945,41.439998149871826
3,2.040692140197754,47.068,1.3772964477539062,51.52999758720398
4,1.4084794132614136,52.328,1.4642053842544556,49.73999857902527
5,1.3574425456619263,54.168,1.351372241973877,52.10999846458435
6,1.3124902158737182,55.724,1.2604506015777588,55.82000017166138
7,1.2503452702713014,57.856,1.3169867992401123,56.91999793052673
8,1.208034197921753,59.164,1.1108015775680542,61.05999946594238
9,1.1709462397384645,60.77,1.1024119853973389,61.28999590873718
10,1.126995644454956,62.17,1.1843990087509155,59.359997510910034
11,1.0942387285614015,63.264,1.1097084283828735,61.75000071525574
12,1.0655277046966554,64.152,1.055294394493103,63.28999996185303
13,1.0236855603027344,65.388,1.058866262435913,62.97999620437622
14,0.9863844455337525,66.628,1.0339795351028442,64.34000134468079
15,0.9641289842224121,67.328,1.11461341381073,62.08999752998352
16,0.9530281636428833,67.986,1.1007039546966553,62.290000915527344
17,0.9221644113540649,69.046,1.0304853916168213,66.0099983215332
18,0.9192110162734985,69.254,1.0469908714294434,64.95999693870544
19,0.8951582008361817,69.576,1.139265775680542,62.61000037193298
20,0.8857882355117798,70.08,0.9777058362960815,67.05999970436096
21,0.8743095518875122,70.366,0.9977260828018188,66.24999642372131
22,0.8657094627380371,70.484,0.9780471920967102,66.1899983882904
23,0.8435847760009766,71.494,1.0770033597946167,65.65999984741211
24,0.8447460736465454,71.318,1.0029752254486084,66.97999835014343
25,0.8349370469284058,71.704,1.0192863941192627,65.60999751091003
26,0.8328396439170838,71.592,0.9634754657745361,67.30999946594238
27,0.8123017972564698,72.436,0.8949939608573914,69.44999694824219
28,0.8039840566062927,72.584,0.9564293026924133,68.45999956130981
29,0.7967586624526978,72.95,0.9947608113288879,67.10000038146973
30,0.7999852311897278,72.788,0.9257944226264954,67.89999604225159
31,0.7855563150024414,73.22,1.0586432218551636,66.06999635696411
32,0.7845437927627563,73.292,1.0280869007110596,65.65999984741211
33,0.7785154166603089,73.396,0.9622531533241272,68.00999641418457
34,0.7632911884498597,73.904,1.1187617778778076,63.47999572753906
35,0.7690663793754577,73.652,0.9509583115577698,68.12999844551086
36,0.7584768118286133,74.228,1.0186101198196411,67.03999638557434
37,0.7589131629562378,74.026,0.9943618178367615,66.90999865531921
38,0.7511122373008728,74.346,0.9575458765029907,68.09999942779541
39,0.749393785572052,74.272,1.0298004150390625,66.99000000953674
40,0.7420950647926331,74.406,1.019826054573059,67.0199990272522
