stage,generation,sample_accuracy_percent,sample_loss,changed_weights,test_accuracy_percent,test_loss
generation,0,85.00000238418579,0.44301122426986694,2,,
generation,1,85.00000238418579,0.42455172538757324,6,,
generation,2,85.70000529289246,0.443413645029068,7,,
generation,3,86.5000069141388,0.4268331229686737,5,,
generation,4,84.80000495910645,0.4299967586994171,7,,
generation,5,84.90000367164612,0.4085409343242645,10,,
generation,6,86.10000610351562,0.4418122172355652,9,,
generation,7,85.50000190734863,0.4124419093132019,10,,
generation,8,87.50000596046448,0.3748258054256439,16,,
generation,9,86.60000562667847,0.41464418172836304,11,,
generation,10,84.70000624656677,0.44777989387512207,13,,
generation,11,88.40000629425049,0.372050940990448,18,,
generation,12,86.10000610351562,0.4141463041305542,18,,
generation,13,86.70000433921814,0.4052915871143341,22,,
generation,14,86.80000305175781,0.38828930258750916,18,,
generation,15,87.10000514984131,0.3927130699157715,28,,
generation,16,86.40000224113464,0.4144267141819,28,,
generation,17,86.30000352859497,0.41832324862480164,33,,
generation,18,87.10000514984131,0.4008830487728119,19,,
generation,19,86.40000224113464,0.41157862544059753,33,,
generation,20,85.9000027179718,0.43985891342163086,36,,
generation,21,87.50000596046448,0.39511188864707947,39,,
generation,22,87.20000386238098,0.38775962591171265,35,,
generation,23,86.10000610351562,0.4174656569957733,36,,
generation,24,86.90000176429749,0.380204975605011,42,,
generation,25,86.30000352859497,0.4368605315685272,45,,
generation,26,87.90000677108765,0.37787798047065735,42,,
generation,27,88.00000548362732,0.38405540585517883,55,,
generation,28,85.80000400543213,0.40820810198783875,48,,
generation,29,88.00000548362732,0.4032922685146332,46,,
generation,30,86.70000433921814,0.4423696994781494,51,,
generation,31,86.5000069141388,0.4123263955116272,45,,
generation,32,87.10000514984131,0.3847230076789856,44,,
generation,33,85.70000529289246,0.4223649203777313,50,,
generation,34,86.30000352859497,0.4182756543159485,51,,
generation,35,87.90000677108765,0.40786078572273254,56,,
generation,36,88.00000548362732,0.36918970942497253,50,,
generation,37,88.00000548362732,0.3703848123550415,55,,
generation,38,89.10000324249268,0.3720988631248474,44,,
generation,39,87.40000128746033,0.40709811449050903,61,,
generation,40,89.10000324249268,0.35824111104011536,53,,
generation,41,85.00000238418579,0.42527341842651367,63,,
generation,42,87.70000338554382,0.38505277037620544,59,,
generation,43,86.60000562667847,0.4102115333080292,58,,
generation,44,87.00000643730164,0.40227335691452026,59,,
generation,45,87.70000338554382,0.3966948390007019,71,,
generation,46,88.00000548362732,0.3568870723247528,58,,
generation,47,85.70000529289246,0.4364595413208008,51,,
generation,48,87.20000386238098,0.41633692383766174,67,,
generation,49,85.60000658035278,0.40389350056648254,74,,
generation,50,88.30000162124634,0.3584664463996887,70,,
generation,51,86.70000433921814,0.4164322018623352,66,,
generation,52,84.80000495910645,0.43397247791290283,67,,
generation,53,87.00000643730164,0.42093363404273987,63,,
generation,54,86.10000610351562,0.4412704408168793,68,,
generation,55,86.80000305175781,0.4040716886520386,82,,
generation,56,87.50000596046448,0.4308629035949707,59,,
generation,57,87.60000467300415,0.4257224202156067,60,,
generation,58,85.10000109672546,0.469268262386322,64,,
generation,59,89.3000066280365,0.3762792944908142,72,,
generation,60,88.30000162124634,0.3770632743835449,87,,
generation,61,88.30000162124634,0.3477577269077301,66,,
generation,62,86.30000352859497,0.4142575263977051,85,,
generation,63,87.50000596046448,0.3844411075115204,67,,
generation,64,86.40000224113464,0.43443429470062256,76,,
generation,65,87.60000467300415,0.3905298709869385,79,,
generation,66,85.40000319480896,0.4273809492588043,67,,
generation,67,86.60000562667847,0.41333967447280884,95,,
generation,68,88.30000162124634,0.3681163191795349,77,,
generation,69,87.40000128746033,0.40299609303474426,74,,
generation,70,87.60000467300415,0.38200250267982483,77,,
generation,71,88.30000162124634,0.36978402733802795,92,,
generation,72,88.20000290870667,0.3666989207267761,79,,
generation,73,87.90000677108765,0.36950454115867615,82,,
generation,74,89.40000534057617,0.3673587441444397,94,,
generation,75,85.30000448226929,0.4164813458919525,73,,
generation,76,86.90000176429749,0.3985621929168701,74,,
generation,77,86.00000143051147,0.44149249792099,93,,
generation,78,88.40000629425049,0.3843907415866852,79,,
generation,79,86.00000143051147,0.4111318290233612,85,,
generation,80,86.2000048160553,0.4062056541442871,102,,
generation,81,87.90000677108765,0.39718782901763916,89,,
generation,82,87.8000020980835,0.39739811420440674,84,,
generation,83,87.00000643730164,0.38888534903526306,86,,
generation,84,86.5000069141388,0.42277956008911133,102,,
generation,85,86.10000610351562,0.41560098528862,95,,
generation,86,87.40000128746033,0.3860682547092438,103,,
generation,87,88.00000548362732,0.3957046568393707,92,,
generation,88,87.70000338554382,0.3918391764163971,103,,
generation,89,87.10000514984131,0.402793824672699,101,,
generation,90,87.50000596046448,0.3775068521499634,101,,
generation,91,86.5000069141388,0.40239405632019043,106,,
generation,92,87.40000128746033,0.39505356550216675,104,,
generation,93,87.90000677108765,0.37996384501457214,114,,
generation,94,87.90000677108765,0.37922489643096924,98,,
generation,95,87.20000386238098,0.40405094623565674,99,,
generation,96,86.80000305175781,0.4071439802646637,109,,
generation,97,85.40000319480896,0.448953241109848,126,,
generation,98,88.30000162124634,0.38330718874931335,113,,
generation,99,87.00000643730164,0.4028893709182739,109,,
generation,100,86.90000176429749,0.4017025828361511,96,,
after_ga,,,,,72.09999561309814,0.8886738419532776
