stage,generation,train_accuracy_percent,train_loss,test_accuracy_percent,test_loss
generation,0,18.99999976158142,60.659854888916016,11.629999428987503,65.77811431884766
generation,1,19.499999284744263,77.88116455078125,11.490000039339066,82.04391479492188
generation,2,18.50000023841858,50.825077056884766,13.329999148845673,53.3195686340332
generation,3,17.499999701976776,70.16828155517578,13.349999487400055,71.7621841430664
generation,4,18.50000023841858,68.01152038574219,13.040000200271606,69.15607452392578
generation,5,18.50000023841858,69.58743286132812,14.219999313354492,74.1442642211914
generation,6,17.999999225139618,58.69990539550781,11.03999987244606,62.350711822509766
generation,7,17.000000178813934,54.97636413574219,11.499999463558197,60.294193267822266
generation,8,19.499999284744263,67.9165267944336,11.620000004768372,78.4863510131836
generation,9,22.499999403953552,46.61842346191406,15.439999103546143,48.41910934448242
generation,10,19.999998807907104,54.546669006347656,15.529999136924744,55.03468704223633
generation,11,19.499999284744263,48.53315734863281,14.350000023841858,54.487831115722656
generation,12,17.999999225139618,55.16899108886719,11.779999732971191,56.34373092651367
generation,13,18.50000023841858,56.62455749511719,14.489999413490295,59.5638427734375
generation,14,20.499999821186066,52.35939407348633,14.489999413490295,59.5638427734375
generation,15,18.50000023841858,66.06029510498047,11.419999599456787,67.439208984375
generation,16,22.999998927116394,64.7762222290039,16.110000014305115,70.91850280761719
generation,17,19.999998807907104,50.544883728027344,15.160000324249268,57.936100006103516
generation,18,17.499999701976776,64.64488983154297,12.669999897480011,69.24329376220703
generation,19,18.99999976158142,60.731380462646484,12.479999661445618,66.19799041748047
generation,20,19.999998807907104,70.1781234741211,15.42000025510788,69.46666717529297
generation,21,17.999999225139618,75.8222427368164,14.100000262260437,76.91629028320312
generation,22,19.999998807907104,69.058349609375,12.309999763965607,72.0436782836914
generation,23,21.49999886751175,77.15873718261719,16.87999963760376,84.50215911865234
generation,24,18.50000023841858,51.930076599121094,13.179999589920044,57.39117431640625
generation,25,20.499999821186066,70.22964477539062,13.279999792575836,76.54792785644531
generation,26,19.999998807907104,75.59955596923828,13.050000369548798,81.19734191894531
generation,27,20.999999344348907,48.200130462646484,13.869999349117279,55.31290054321289
generation,28,20.499999821186066,51.725154876708984,13.869999349117279,55.31290054321289
generation,29,18.99999976158142,64.49789428710938,12.289999425411224,73.87229919433594
generation,30,18.50000023841858,48.33492660522461,15.639999508857727,49.64957046508789
generation,31,19.999998807907104,87.25825500488281,16.87999963760376,84.50215911865234
generation,32,18.99999976158142,49.33464431762695,15.150000154972076,50.10580825805664
generation,33,18.99999976158142,67.08223724365234,13.349999487400055,65.75945281982422
generation,34,17.999999225139618,75.20663452148438,14.180000126361847,77.22592163085938
generation,35,19.499999284744263,57.07558059692383,11.159999668598175,62.20612335205078
generation,36,20.499999821186066,56.85166931152344,13.939999043941498,59.12808609008789
generation,37,20.499999821186066,61.8611946105957,14.270000159740448,66.18293762207031
generation,38,19.499999284744263,55.71533203125,14.259999990463257,61.05219268798828
generation,39,20.499999821186066,63.668582916259766,13.030000030994415,69.09135437011719
generation,40,18.50000023841858,51.717689514160156,13.740000128746033,59.01283264160156
generation,41,21.49999886751175,57.302032470703125,13.660000264644623,66.2810287475586
generation,42,22.999998927116394,38.615875244140625,16.419999301433563,44.275848388671875
generation,43,22.499999403953552,58.249176025390625,16.14999920129776,66.78742218017578
generation,44,23.999999463558197,62.211219787597656,16.14999920129776,66.78742218017578
generation,45,18.99999976158142,56.5118408203125,15.289999544620514,55.9321174621582
generation,46,19.999998807907104,59.460758209228516,14.899998903274536,63.82786178588867
generation,47,19.499999284744263,75.78596496582031,16.939999163150787,81.27017974853516
generation,48,19.999998807907104,57.61003494262695,14.139999449253082,63.75947570800781
generation,49,19.999998807907104,50.78141784667969,13.849999010562897,58.60573196411133
generation,50,18.50000023841858,65.31535339355469,14.819999039173126,69.97433471679688
generation,51,21.99999988079071,62.375892639160156,16.21999889612198,68.78968811035156
generation,52,20.999999344348907,56.553253173828125,17.629998922348022,56.15598678588867
generation,53,25.499999523162842,50.122798919677734,17.629998922348022,56.15598678588867
generation,54,18.50000023841858,55.12325668334961,14.209999144077301,63.11457061767578
generation,55,20.999999344348907,49.923641204833984,17.29999929666519,53.97239303588867
generation,56,20.499999821186066,66.0682373046875,14.909999072551727,66.30013275146484
generation,57,19.499999284744263,73.4382553100586,16.099999845027924,74.98786163330078
generation,58,19.499999284744263,58.861576080322266,11.789999902248383,66.48218536376953
generation,59,21.49999886751175,48.21494674682617,15.299999713897705,49.62412643432617
generation,60,17.499999701976776,50.97342300415039,15.299999713897705,49.62412643432617
generation,61,21.99999988079071,57.90531921386719,18.889999389648438,61.04599380493164
generation,62,22.499999403953552,54.74800109863281,18.889999389648438,61.04599380493164
generation,63,22.999998927116394,65.9599838256836,18.889999389648438,61.04599380493164
generation,64,23.999999463558197,50.2928581237793,18.889999389648438,61.04599380493164
generation,65,21.49999886751175,50.4294548034668,16.349999606609344,56.609718322753906
generation,66,22.499999403953552,44.77898406982422,14.289999008178711,51.20374298095703
generation,67,20.499999821186066,60.554351806640625,12.379999458789825,61.3135986328125
generation,68,19.999998807907104,54.76609802246094,14.639998972415924,58.947601318359375
generation,69,26.499998569488525,55.750003814697266,18.889999389648438,61.04599380493164
generation,70,19.999998807907104,49.255279541015625,17.04999953508377,53.185298919677734
generation,71,20.499999821186066,49.756744384765625,15.160000324249268,50.27716827392578
generation,72,21.99999988079071,46.83005905151367,13.920000195503235,54.03156280517578
generation,73,23.499999940395355,55.77360916137695,18.889999389648438,61.04599380493164
generation,74,19.999998807907104,61.06621551513672,18.889999389648438,61.04599380493164
generation,75,21.49999886751175,46.46454620361328,15.029999613761902,51.982967376708984
generation,76,21.49999886751175,57.976749420166016,17.639999091625214,58.15195083618164
generation,77,21.49999886751175,58.963584899902344,18.889999389648438,61.04599380493164
generation,78,22.499999403953552,54.78435516357422,18.889999389648438,61.04599380493164
generation,79,22.499999403953552,73.05665588378906,16.939999163150787,77.51041412353516
generation,80,22.999998927116394,56.64901351928711,18.889999389648438,61.04599380493164
generation,81,23.999999463558197,48.907962799072266,16.369999945163727,54.2669677734375
generation,82,22.499999403953552,47.944793701171875,18.50000023841858,49.42122268676758
generation,83,23.999999463558197,64.54671478271484,13.48000019788742,70.34628295898438
generation,84,25.0,43.324092864990234,18.469999730587006,47.27024459838867
generation,85,23.499999940395355,68.97663116455078,14.980000257492065,67.32434844970703
generation,86,21.49999886751175,45.810028076171875,16.279999911785126,45.245697021484375
generation,87,23.999999463558197,47.18141174316406,18.469999730587006,47.27024459838867
generation,88,24.49999898672104,53.37273406982422,17.44999885559082,59.304264068603516
generation,89,22.999998927116394,74.2440185546875,18.239998817443848,69.68087005615234
generation,90,22.499999403953552,45.10072708129883,17.409999668598175,47.475379943847656
generation,91,23.499999940395355,44.892635345458984,15.230000019073486,48.59979248046875
generation,92,20.999999344348907,44.447025299072266,18.82999986410141,44.176246643066406
generation,93,25.0,55.568485260009766,15.060000121593475,60.0333137512207
generation,94,23.499999940395355,47.19337844848633,18.699999153614044,54.997093200683594
generation,95,25.999999046325684,49.9699821472168,19.72000002861023,51.2465705871582
generation,96,23.999999463558197,50.78383255004883,15.230000019073486,61.701812744140625
generation,97,20.499999821186066,41.76466751098633,13.050000369548798,50.918235778808594
generation,98,23.499999940395355,50.425472259521484,19.40999925136566,49.0035400390625
generation,99,22.999998927116394,68.82386016845703,17.29999929666519,67.10400390625
generation,100,21.99999988079071,48.31596374511719,15.070000290870667,52.04949188232422
generation,101,22.499999403953552,55.58085632324219,16.290000081062317,54.356407165527344
generation,102,23.499999940395355,55.51591491699219,18.859998881816864,60.02275085449219
generation,103,25.0,47.24267578125,16.409999132156372,54.9000244140625
generation,104,25.999999046325684,54.127315521240234,17.87000000476837,53.05458068847656
generation,105,23.499999940395355,53.45899963378906,17.94999986886978,52.64567947387695
generation,106,25.999999046325684,53.294349670410156,18.569999933242798,54.41766357421875
generation,107,23.499999940395355,51.94972610473633,19.349999725818634,55.232398986816406
generation,108,21.49999886751175,52.443153381347656,18.6599999666214,48.447540283203125
generation,109,22.499999403953552,46.3300666809082,19.280000030994415,47.22491455078125
generation,110,28.49999964237213,57.52192687988281,21.10999971628189,64.79779052734375
generation,111,26.499998569488525,53.3952522277832,20.789998769760132,54.1485481262207
generation,112,25.499999523162842,50.198387145996094,20.659999549388885,48.28668975830078
generation,113,25.0,54.486846923828125,17.77999997138977,55.380069732666016
generation,114,24.49999898672104,54.557281494140625,20.469999313354492,54.976806640625
generation,115,25.499999523162842,63.871604919433594,19.829998910427094,66.06437683105469
generation,116,24.49999898672104,49.3862190246582,16.899999976158142,53.11076354980469
generation,117,25.0,47.27543640136719,19.269999861717224,52.309295654296875
generation,118,28.49999964237213,51.6401481628418,20.999999344348907,57.57451248168945
generation,119,25.499999523162842,60.213653564453125,19.460000097751617,66.65249633789062
generation,120,25.0,61.61534118652344,20.999999344348907,60.85746383666992
generation,121,26.499998569488525,58.9918098449707,21.16999924182892,57.071739196777344
generation,122,25.0,36.43582534790039,20.76999992132187,37.655174255371094
generation,123,25.999999046325684,41.919944763183594,21.769998967647552,46.90999984741211
generation,124,27.500000596046448,48.35442352294922,20.520000159740448,47.82768249511719
generation,125,25.0,58.0638313293457,20.569999516010284,57.844932556152344
generation,126,32.999998331069946,37.44999694824219,21.1899995803833,43.47382736206055
generation,127,26.499998569488525,56.37348937988281,23.889999091625214,52.34253692626953
generation,128,29.499998688697815,48.62669372558594,23.559999465942383,49.84817886352539
generation,129,28.999999165534973,45.383174896240234,23.559999465942383,49.84817886352539
generation,130,26.999998092651367,44.94944763183594,19.73000019788742,46.92524719238281
generation,131,26.999998092651367,63.830570220947266,22.029998898506165,61.79781723022461
