epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,12.91766524251302,27.135555555555555,14.140289306640625,17.44000017642975
2,5.095774390157064,26.93777777777778,3.2857625484466553,26.029998064041138
3,2.2421436040242515,31.433333333333334,1.8317360877990723,37.26999759674072
4,1.7574332883622912,37.38,1.7177560329437256,38.28999996185303
5,1.668988311343723,39.94,1.5871715545654297,42.409998178482056
6,1.6267453198326958,41.83555555555556,1.5282292366027832,46.01999819278717
7,1.5850858818478055,43.20444444444445,1.577484369277954,44.13999915122986
8,1.54658250541687,44.404444444444444,1.4146623611450195,49.52999949455261
9,1.520774833255344,45.82222222222222,1.4086635112762451,49.00999963283539
10,1.5012914055082534,46.73555555555556,1.4474492073059082,50.290000438690186
11,1.4639327750735813,48.102222222222224,1.4285962581634521,51.70999765396118
12,1.4380656348758274,49.69555555555556,1.3005316257476807,52.789998054504395
13,1.4182543266296386,50.175555555555555,1.335839033126831,52.10999846458435
14,1.3894248153050741,51.217777777777776,1.2815182209014893,54.54999804496765
15,1.3594234455108642,52.077777777777776,1.322740077972412,53.17999720573425
16,1.3505870421621535,52.69777777777778,1.703177571296692,47.30999767780304
17,1.3247697619544134,53.46666666666667,1.2416605949401855,56.459999084472656
18,1.3048550881703695,54.18222222222222,1.2462382316589355,56.849998235702515
19,1.2913604626125759,54.644444444444446,1.5487085580825806,50.599998235702515
20,1.2931312803056505,54.913333333333334,1.2414653301239014,56.69999718666077
21,1.2845681039598253,55.16888888888889,1.2112535238265991,57.15000033378601
22,1.276237951850891,55.26444444444444,1.2319217920303345,57.76999592781067
23,1.256386952887641,56.01111111111111,1.301424264907837,56.209999322891235
24,1.2502521998299492,56.49333333333333,1.2977362871170044,56.48999810218811
25,1.2494900029500327,56.431111111111115,1.3258366584777832,57.02999830245972
26,1.2426510843912761,56.535555555555554,1.2906806468963623,57.40000009536743
27,1.22231109184689,57.404444444444444,1.2342817783355713,58.05000066757202
28,1.2164227481630114,57.72666666666667,1.2311179637908936,57.20999836921692
29,1.2128788908428616,57.553333333333335,1.1997922658920288,57.73000121116638
30,1.2090487249162463,57.82,1.1577892303466797,59.22999978065491
31,1.214759550582038,57.54888888888889,1.3306604623794556,53.74999642372131
32,1.2040550573984783,57.7,1.1860545873641968,58.7399959564209
33,1.2031813081317477,57.81333333333333,1.2162142992019653,57.989996671676636
34,1.206448030810886,57.87777777777778,1.1992361545562744,58.0299973487854
35,1.1864361090342204,58.67777777777778,1.336426854133606,56.08999729156494
36,1.2016457571453518,57.94444444444444,1.3344892263412476,53.24999690055847
37,1.1875789912753636,58.63111111111111,1.3103219270706177,55.48999905586243
38,1.1851631447898017,58.58222222222222,1.1711645126342773,60.49000024795532
39,1.1763591967900595,59.05111111111111,1.2763477563858032,57.63999819755554
40,1.175487798224555,58.79555555555555,1.1489418745040894,59.63999629020691
41,1.1730792550192939,59.27333333333333,1.2525228261947632,57.809996604919434
42,1.1758751662784153,58.69777777777778,1.277959942817688,56.72999620437622
43,1.1793477055019803,59.00666666666667,1.365371584892273,57.22000002861023
44,1.169062707985772,59.291111111111114,1.3322341442108154,54.579997062683105
45,1.1584800580130683,59.56444444444445,1.1540013551712036,60.61999797821045
46,1.1655870403077868,59.37111111111111,1.1460896730422974,59.25999879837036
47,1.154886529964871,59.64888888888889,1.2070027589797974,58.980000019073486
48,1.1449941711637708,59.93555555555555,1.2166577577590942,58.23999643325806
49,1.1482903434753418,59.69111111111111,1.1669833660125732,59.52000021934509
50,1.1434023365868462,60.315555555555555,1.3327103853225708,54.72999811172485
51,1.1452601806640625,59.784444444444446,1.3246433734893799,55.799996852874756
52,1.1336944996939764,60.306666666666665,1.235307216644287,57.04999566078186
53,1.1275239087846545,60.66222222222222,1.8890289068222046,48.99999797344208
54,1.1336902288013035,60.32888888888889,1.2409003973007202,57.63999819755554
55,1.1308768574078878,60.53777777777778,1.1641910076141357,61.14000082015991
56,1.1371178802278308,60.05111111111111,1.386826515197754,54.62999939918518
57,1.1259360025829739,60.653333333333336,1.252355694770813,57.85999894142151
58,1.116138628938463,60.733333333333334,1.1179771423339844,61.309999227523804
59,1.1104046321021186,61.068888888888885,1.0589689016342163,63.28999996185303
60,1.1130466246710884,60.96222222222222,1.1955430507659912,60.179996490478516
61,1.117828440284729,61.19111111111111,1.1046310663223267,61.479997634887695
62,1.1114030949910483,60.98888888888889,1.2519475221633911,57.94999599456787
63,1.1072306783676147,61.513333333333335,1.1282702684402466,62.09999918937683
64,1.1039403352313573,61.44444444444444,1.0831295251846313,63.359999656677246
65,1.0957549444622463,61.96888888888889,1.1554195880889893,60.030001401901245
66,1.1031852748446995,61.54222222222222,1.0618975162506104,63.44999670982361
67,1.0944615304099188,61.59777777777778,1.0365028381347656,64.38999772071838
68,1.0911505651685927,61.86888888888889,1.0922151803970337,63.419997692108154
69,1.0879110812505086,61.931111111111115,1.1784729957580566,62.16999888420105
70,1.096297569847107,61.42666666666667,1.0996582508087158,63.339996337890625
71,1.0862903391944037,61.78666666666667,1.1635220050811768,59.77999567985535
72,1.0873897369172838,61.87555555555556,1.1232645511627197,61.04999780654907
