epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,10.651347642974853,30.92,6.903807163238525,28.380000591278076
2,3.7964907196044924,34.744,2.5472071170806885,34.950000047683716
3,1.7524809159851074,40.942,1.540266752243042,43.9300000667572
4,1.553466103515625,46.288,1.65651273727417,44.72000002861023
5,1.4957719456863403,48.15,1.420108437538147,50.24999976158142
6,1.446808246269226,49.848,1.3948560953140259,50.69999694824219
7,1.3964384864425659,51.59,1.4124383926391602,51.15000009536743
8,1.3662391285705566,52.848,1.3653292655944824,52.85999774932861
9,1.3311711009788514,54.068,1.340476393699646,52.35999822616577
10,1.3036026831054688,55.162,1.3005002737045288,53.71999740600586
11,1.250517591381073,56.856,1.3654676675796509,53.439998626708984
12,1.2333101461029052,57.622,1.2879892587661743,55.37999868392944
13,1.2043546893692016,58.536,1.166769027709961,58.7399959564209
14,1.1874652869796753,58.944,1.2759649753570557,55.1800012588501
15,1.172403617477417,59.984,1.2083451747894287,58.12999606132507
16,1.1561415312576293,60.164,1.2017396688461304,58.92999768257141
17,1.1295945864105223,61.146,1.1866114139556885,58.82999897003174
18,1.1263900544929504,61.146,1.2211209535598755,57.78999924659729
19,1.1129104125976563,61.652,1.2175896167755127,57.760000228881836
20,1.1037473428344726,62.052,1.2038958072662354,58.82999897003174
21,1.09544169342041,62.276,1.214361548423767,58.16999673843384
22,1.0755930319786071,62.85,1.2149596214294434,58.77999663352966
23,1.0873581815338136,62.536,1.1560641527175903,60.31000018119812
24,1.07389169713974,62.88,1.0886311531066895,62.48999834060669
25,1.060910700969696,63.22,1.13932466506958,60.749995708465576
26,1.062457329120636,63.432,1.2169222831726074,58.70000123977661
27,1.0490625901031494,63.762,1.1160163879394531,61.84999942779541
28,1.0488989033126832,63.726,1.1008574962615967,63.29999566078186
29,1.0426795497894288,63.838,1.1111469268798828,61.6100013256073
30,1.0312415607070924,64.456,1.087354063987732,62.22999691963196
31,1.0296470640182496,64.192,1.351199746131897,57.37000107765198
32,1.0201737951278687,64.738,1.222128987312317,59.92000102996826
33,1.017173180847168,64.878,1.148681640625,61.11999750137329
34,1.012963264541626,64.864,1.1655893325805664,59.74999666213989
35,1.0060704739761352,65.364,1.1100066900253296,62.18999624252319
36,1.0119554322052002,64.874,1.159666895866394,60.600000619888306
37,1.0034436503219604,65.284,1.0715323686599731,63.08000087738037
38,1.0005074167251586,65.398,1.181961178779602,59.65999960899353
39,0.9885853499603271,65.61,1.058519721031189,63.45999836921692
40,0.9919083768081665,65.606,1.1339765787124634,59.99000072479248
41,0.9906151034164429,65.566,1.2509934902191162,57.64999985694885
42,0.979028441696167,65.68,1.2977681159973145,55.43000102043152
43,0.974415283241272,66.098,1.0755796432495117,62.519997358322144
44,0.9749573175430298,66.264,1.2977855205535889,56.18000030517578
45,0.9650821398925781,66.212,1.063621163368225,63.77999782562256
46,0.9627500349426269,66.508,1.1052124500274658,62.40999698638916
47,0.9619357846832275,66.576,1.0559519529342651,64.03999924659729
48,0.9463333389663696,67.13,1.1598442792892456,60.21999716758728
49,0.9451194863891601,67.228,1.0670967102050781,62.83000111579895
50,0.9504318775558471,66.848,1.1111416816711426,61.250001192092896
51,0.9468838654708862,66.962,1.048316240310669,63.85999917984009
52,0.9435270066452026,66.896,1.1430357694625854,60.49000024795532
53,0.9390612297439576,67.082,1.100904941558838,62.56999969482422
54,0.9476588563537598,67.14,1.0400938987731934,63.989996910095215
55,0.9473489338874816,67.11,1.0742310285568237,63.599997758865356
56,0.9377846744537354,67.128,1.0743669271469116,63.27999830245972
57,0.9271365871047974,67.742,1.0140515565872192,65.09000062942505
58,0.9204170170211792,67.962,1.176494836807251,60.31000018119812
59,0.9201422700881958,67.89,1.0511103868484497,64.26999568939209
60,0.916583410396576,67.952,1.097450852394104,62.5
61,0.9174108455657959,67.992,1.0620841979980469,63.830000162124634
62,0.9214565886306763,67.95,1.0744303464889526,62.30999827384949
63,0.9128887798690796,68.268,1.1239690780639648,61.169999837875366
64,0.9082181287002563,68.304,1.038478970527649,65.00999927520752
65,0.9101473780059814,68.344,1.127045750617981,61.570000648498535
66,0.9098420154571534,68.236,1.182253360748291,59.81999635696411
67,0.910069888381958,68.158,1.1063439846038818,62.66999840736389
68,0.9123561220550537,68.302,1.0954159498214722,61.84999942779541
69,0.9064325770759583,68.286,1.0346137285232544,64.87999558448792
70,0.8991088620948792,68.744,1.0083770751953125,65.09999632835388
71,0.9009748177337646,68.418,1.0167919397354126,64.73000049591064
72,0.8957440057754517,68.742,0.9911530017852783,65.59000015258789
73,0.8994481226348877,68.79,1.0004668235778809,65.36999940872192
74,0.8981803812026977,68.468,1.1353325843811035,61.43999695777893
