stage,generation,train_accuracy_percent,train_loss,test_accuracy_percent,test_loss
generation,0,15.000000596046448,64.68344116210938,15.850000083446503,64.82819366455078
generation,1,15.550000965595245,66.04546356201172,15.850000083446503,64.82819366455078
generation,2,15.600000321865082,64.65440368652344,15.850000083446503,64.82819366455078
generation,3,15.600000321865082,53.62192916870117,14.079999923706055,54.528785705566406
generation,4,15.75000137090683,73.2684097290039,15.060000121593475,73.09107208251953
generation,5,16.00000113248825,63.90627670288086,15.850000083446503,64.82819366455078
generation,6,15.900000929832458,60.19231414794922,15.049999952316284,60.66908264160156
generation,7,16.950000822544098,61.81290054321289,15.5799999833107,63.36147689819336
generation,8,16.15000069141388,79.48885345458984,14.499999582767487,80.9146728515625
generation,9,16.4000004529953,64.26561737060547,15.850000083446503,64.82819366455078
generation,10,17.150001227855682,62.78289794921875,15.199999511241913,63.79936981201172
generation,11,16.55000150203705,59.50645065307617,15.639999508857727,59.74379348754883
generation,12,15.700000524520874,59.077884674072266,15.639999508857727,59.74379348754883
generation,13,16.600000858306885,72.13468933105469,15.17999917268753,73.25067138671875
generation,14,15.550000965595245,59.58757400512695,15.049999952316284,60.66908264160156
generation,15,17.30000078678131,60.91312026977539,16.259999573230743,60.857826232910156
generation,16,17.250001430511475,60.203304290771484,14.869999885559082,61.028987884521484
generation,17,17.05000102519989,58.510677337646484,14.869999885559082,61.028987884521484
generation,18,16.100001335144043,84.4082260131836,15.65999984741211,83.13900756835938
generation,19,17.45000034570694,74.72511291503906,15.150000154972076,75.84003448486328
generation,20,17.250001430511475,49.251590728759766,15.449999272823334,49.737815856933594
generation,21,16.850000619888306,71.3686752319336,15.17999917268753,73.25067138671875
generation,22,17.350000143051147,64.82200622558594,15.90999960899353,63.99201965332031
generation,23,18.60000044107437,62.76594543457031,18.1099995970726,63.91291809082031
generation,24,17.250001430511475,65.09223937988281,18.1099995970726,63.91291809082031
generation,25,18.550001084804535,62.15547561645508,18.1099995970726,63.91291809082031
generation,26,18.050001561641693,63.595298767089844,18.1099995970726,63.91291809082031
generation,27,18.700000643730164,62.616214752197266,18.1099995970726,63.91291809082031
generation,28,17.400000989437103,66.22907257080078,18.1099995970726,63.91291809082031
generation,29,17.600001394748688,63.74918746948242,18.1099995970726,63.91291809082031
generation,30,19.100001454353333,62.07732391357422,18.1099995970726,63.91291809082031
generation,31,17.85000115633011,65.13213348388672,18.1099995970726,63.91291809082031
generation,32,18.400001525878906,62.55426025390625,18.1099995970726,63.91291809082031
generation,33,17.70000010728836,64.35102844238281,18.1099995970726,63.91291809082031
generation,34,18.700000643730164,51.77079772949219,17.809998989105225,52.46426773071289
generation,35,17.750000953674316,66.25347900390625,18.1099995970726,63.91291809082031
generation,36,17.9500013589859,63.232139587402344,18.1099995970726,63.91291809082031
generation,37,19.100001454353333,63.69108963012695,18.1099995970726,63.91291809082031
generation,38,17.750000953674316,64.14094543457031,18.1099995970726,63.91291809082031
generation,39,18.400001525878906,52.14109420776367,17.809998989105225,52.46426773071289
generation,40,19.450001418590546,62.45100021362305,18.1099995970726,63.91291809082031
generation,41,18.850000202655792,63.18550109863281,18.1099995970726,63.91291809082031
generation,42,19.700001180171967,64.57290649414062,18.1099995970726,63.91291809082031
generation,43,18.450000882148743,63.05394744873047,18.1099995970726,63.91291809082031
